Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI,Title
propionate,increased,whole organism,,,C. elegans,XBDQKXXYIPTUBI-UHFFFAOYSA-N,C00163,LMFA01010003,1032,Acetic acid,C2H4O2,60.0211,Saturated FA,HMDB0000237,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
SCFA,increased,whole organism,,,C. elegans,VMHLLURERBWHNL-UHFFFAOYSA-M,No result,No result,517045,Butyric acid,C4H8O2,88.0524,Saturated FA,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
bile acids,increased,whole organism,,,Drosophila,BHQCQFFYRZLCQQ-UMZBRFQRSA-N,C01558,No result,439520,Propionic acid,C3H6O2,74.0368,Saturated FA,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
polyamines,increased,whole organism,,,Drosophila,PIICEJLVQHRZGT-UHFFFAOYSA-N,D01114,No result,3301,-,,,,HMDB0031225,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
acetate,increased,whole organism,,,Drosophila,QTBSBXVTEAMEQO-UHFFFAOYSA-M,No result,No result,175,Acetic acid,C2H4O2,60.0211,Saturated FA,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
butyrate,increased,whole organism,,,Drosophila,FERIUCNNQQJTOY-UHFFFAOYSA-N,C00246,LMFA01010004,264,Butyric acid,C4H8O2,88.0524,Saturated FA,HMDB0000039,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
propionate,increased,whole organism,,,Drosophila,XBDQKXXYIPTUBI-UHFFFAOYSA-N,C00163,LMFA01010003,1032,Propionic acid,C3H6O2,74.0368,Saturated FA,HMDB0000237,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
colanic acid,increased,whole organism,,,C. elegans,DUGKXGQZYHUOFV-SOLNNGHASA-L,No result,No result,No result,-,,,,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
polyamines,increased,whole cell,,,Yeast,PIICEJLVQHRZGT-UHFFFAOYSA-N,D01114,No result,3301,-,,,,HMDB0031225,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
agmatine,increased,whole organism,,,C. elegans,QYPPJABKJHAVHS-UHFFFAOYSA-N,C00179,No result,199,Agmatine,C5H14N4,130.1218,Guanidines,HMDB0001432,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
spermidine,increased,feces,,,Mice,ATHGHQPFGPMSJY-UHFFFAOYSA-N,C00315,No result,1102,Spermidine,C7H19N3,145.1579,Dialkylamines,HMDB0001257,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
spermine,increased,feces,,,Mice,PFNFFQXMRSDOHW-UHFFFAOYSA-N,C00750,No result,1103,Spermine,C10H26N4,202.2157,Dialkylamines,HMDB0001256,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
putrescine,increased,feces,,,Mice,KIDHWZJUCRJVML-UHFFFAOYSA-N,C00134,No result,1045,Putrescine,C4H12N2,88.1,Monoalkylamines,HMDB0001414,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
citrate,increased,plasma,,60-89,Humans,KRKNYBCHXYNGOX-UHFFFAOYSA-K,No result,No result,31348,Citric acid,C6H8O7,192.027,TCA acids,No result,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
tyrosine,increased,plasma,,60-89,Humans,OUYCCCASQSFEME-QMMMGPOBSA-N,C00082,No result,6057,Tyrosine,C9H11NO3,181.0739,Amino acids,HMDB0000158,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
choline,increased,plasma,,60-89,Humans,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C00114,No result,305,Choline,C5H14NO,104.1075,Cholines,HMDB0000097,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
carnitine,increased,plasma,,60-89,Humans,PHIQHXFUZVPYII-UHFFFAOYSA-N,No result,No result,288,Carnitine,C7H15NO3,161.1052,Carnitines,No result,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
valine,increased,plasma,,60-89,Humans,KZSNJWFQEVHDMF-BYPYZUCNSA-N,C00183,No result,6287,Valine,C5H11NO2,117.079,Amino acids,HMDB0000883,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
lactate,decreased,plasma,,60-89,Humans,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C01432,No result,19789253,Lactic acid,C3H6O3,90.0317,Short-chain acids,HMDB0144295,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
alanine,decreased,plasma,,60-89,Humans,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C00041,No result,5950,Alanine,C3H7NO2,89.0477,Amino acids,HMDB0000161,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
trimethylamine oxide (TMAO),decreased,plasma,,60-89,Humans,UYPYRKYUKCHHIB-UHFFFAOYSA-N,C01104,No result,1145,Trimethylamine N-oxide,C3H9NO,75.0684,Trisubstituted amine oxides,HMDB0000925,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
α-glucose,decreased,plasma,,60-89,Humans,WQZGKKKJIJFFOK-MDMQIMBFSA-N,No result,No result,6971003,Glucose,C6H12O6,180.0634,Hexoses,No result,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
unsaturated lipids,decreased,plasma,,60-89,Humans,JKMINFBFTJOCQS-VWXHIQJHSA-M,No result,No result,46926133,-,,,,No result,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
β-glucose,decreased,plasma,,60-89,Humans,WQZGKKKJIJFFOK-VFUOTHLCSA-N,C00221,No result,64689,Glucose,C6H12O6,180.0634,Hexoses,HMDB0000516,https://doi.org/10.3390/nu14122539,"H NMR-Based Metabolomics Reveals the Intrinsic Interaction of Age, Plasma Signature Metabolites, and Nutrient Intake in the Longevity Population in Guangxi, China"
cotinine,increased,plasma,,45-70,Humans,UIKROCXWUNQSPJ-VIFPVBQESA-N,No result,No result,854019,Cotinine,C10H12N2O,176.095,Other alkaloids,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
isocitrate,increased,plasma,,45-70,Humans,ODBLHEXUDAPZAU-UHFFFAOYSA-N,C00311,No result,1198,Isocitric acid,C6H8O7,192.027,TCA acids,HMDB0000193,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPC 22:6,increased,plasma,,45-70,Humans,LSOWKZULVQWMLY-WSDBEMKQSA-N,No result,No result,No result,LPC 22:6,C30H50NO7P,567.3325,LPC,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
PC 38:6,increased,plasma,,45-70,Humans,PLZBTDKJYHXIEW-DZUXOTHRSA-N,No result,LMGP01011909,52923295,PC 38:6,C46H80NO8P,805.5622,PC,HMDB0008434,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
taurocholate,increased,plasma,,45-70,Humans,WBWWGRHZICKQGZ-HZAMXZRMSA-N,No result,LMST05040001,6675,Taurocholic acid,C26H45NO7S,515.2917,C24 bile acids,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
beta-hydroxybutyric acid,increased,plasma,,45-70,Humans,WHBMMWSBFZVSSR-UHFFFAOYSA-N,No result,LMFA01050005,441,3-Hydroxybutyric acid,C4H8O3,104.0473,Hydroxy FA,HMDB0000357,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
histidine,increased,plasma,,45-70,Humans,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C00135,No result,6274,Histidine,C6H9N3O2,155.0695,Amino acids,HMDB0000177,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
threonine,increased,plasma,,45-70,Humans,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C00188,No result,6288,Threonine,C4H9NO3,119.0582,Amino acids,HMDB0000167,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
lysine,increased,plasma,,45-70,Humans,KDXKERNSBIXSRK-YFKPBYRVSA-N,C00047,No result,5962,Lysine,C6H14N2O2,146.1055,Amino acids,HMDB0000182,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
aconitate,increased,plasma,,45-70,Humans,GTZCVFVGUGFEME-HNQUOIGGSA-N,C02341,No result,444212,trans-Aconitic acid,C6H6O6,174.0164,Tricarboxylic acids,HMDB0000958,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
malate,increased,plasma,,45-70,Humans,BJEPYKJPYRNKOW-UHFFFAOYSA-N,C00711,No result,20130941,D-Malic acid,C4H6O5,134.0215,Beta hydroxy acids,HMDB0000744,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
taurodeoxycholate; taurochenodeoxycholate,increased,plasma,,45-70,Humans,AWDRATDZQPNJFN-VAYUFCLWSA-N,No result,LMST05040013,2733768,Taurodeoxycholic acid,C26H45NO6S,499.2968,C24 bile acids,HMDB0000896,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
uridine,increased,plasma,,45-70,Humans,DRTQHJPVMGBUCF-XVFCMESISA-N,C00299,No result,6029,Uridine,C9H12N2O6,244.0695,Pyrimidine ribonucleosides,HMDB0000296,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPC 18:2,increased,plasma,,45-70,Humans,SPJFYYJXNPEZDW-OKLKQMLOSA-N,No result,No result,No result,LPC 18:2,C26H50NO7P,519.3325,LPC,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPC 20:4,increased,plasma,,45-70,Humans,GOMVPVRDBLLHQC-VEJNOCSESA-N,No result,No result,53480469,LPC 20:4,C28H50NO7P,543.3325,LPC,HMDB0010396,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
glutamine,increased,plasma,,45-70,Humans,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C00064,No result,5961,Glutamine,C5H10N2O3,146.0691,Amino acids,HMDB0000641,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
glycodeoxycholate; glycochenodeoxycholate,increased,plasma,,45-70,Humans,WVULKSPCQVQLCU-BUXLTGKBSA-N,C05464,LMST05030006,3035026,Glycodeoxycholic acid,C26H43NO5,449.3141,C24 bile acids,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
fumarate; maleate; alpha-ketoisovalerate,increased,plasma,,45-70,Humans,VZCYOOQTPOCHFL-OWOJBTEDSA-L,C00122,No result,5460307,-,,,,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
CE 22:6,increased,plasma,,45-70,Humans,VOEVEGPMRIYYKC-HNJOWPRISA-N,No result,LMST01020019,14274978,CE 22:6,C49H76O2,696.5845,Chol. esters,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
PC 40:6,increased,plasma,,45-70,Humans,KZSXWBSDQDXESU-PPEVQBTRSA-N,No result,LMGP01012051,52923579,PC 40:6,C48H84NO8P,833.5935,PC,HMDB0008601,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
thyroxine,increased,plasma,,45-70,Humans,XUIIKFGFIJCVMT-LBPRGKRZSA-N,C01829,No result,25201348,Thyroxine,C15H11I4NO4,776.6867,Diarylethers,HMDB0000248,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
3-phosphoglyceric acid,increased,plasma,,45-70,Humans,OSJPPGNTCRNQQC-UWTATZPHSA-N,C00197,No result,439183,3-Phosphoglyceric acid,C3H7O7P,185.9929,Short-chain acids,HMDB0060180,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
uridine diphosphate glucose; uridine diphosphate galactose,increased,plasma,,45-70,Humans,HSCJRCZFDFQWRP-JZMIEXBBSA-N,C00029,No result,8629,-,,,,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
glycocholate,increased,plasma,,45-70,Humans,RFDAIACWWDREDC-FRVQLJSFSA-N,C01921,LMST05030001,10140,Glycocholic acid,C26H43NO6,465.309,C24 bile acids,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
asparagine,increased,plasma,,45-70,Humans,DCXYFEDJOCDNAF-REOHCLBHSA-N,C00152,No result,6267,Asparagine,C4H8N2O3,132.0535,Amino acids,HMDB0000168,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
CE 20:5,increased,plasma,,45-70,Humans,XZFUGMCJZFRBKF-BDJFIEMMSA-N,No result,LMST01020015,10372299,CE 20:5,C47H74O2,670.5689,Chol. esters,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
adipic acid,increased,plasma,,45-70,Humans,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C06104,LMFA01170048,196,Adipic acid,C6H10O4,146.0579,Dicarboxylic acids,HMDB0000448,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
3-methyladipic acid; pimelic acid,increased,plasma,,45-70,Humans,SYEOWUNSTUDKGM-YFKPBYRVSA-N,No result,LMFA01170095,6999745,3-Methyladipic acid,C7H12O4,160.0736,Dicarboxylic acids,HMDB0000555,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
alpha-glycerophosphocholine,increased,plasma,,45-70,Humans,SUHOQUVVVLNYQR-MRVPVSSYSA-N,D07349,No result,657272,sn-Glycero-3-phosphocholine,C8H20NO6P,257.1028,Organic phosphoric acids,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
cystathionine,increased,plasma,,45-70,Humans,ILRYLPWNYFXEMH-WHFBIAKZSA-N,C02291,No result,25243997,Cystathionine,C7H14N2O4S,222.0674,Amino acids,HMDB0000099,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
CE 18:2,increased,plasma,,45-70,Humans,NAACPBBQTFFYQB-LJAITQKLSA-N,C15441,LMST01020008,5287939,CE 18:2,C45H76O2,648.5845,Chol. esters,HMDB0000610,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPC 16:0,increased,plasma,,45-70,Humans,ASWBNKHCZGQVJV-UHFFFAOYSA-N,No result,LMGP01050113,86554,LPC 16:0,C24H50NO7P,495.3325,LPC,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
CE 20:4,increased,plasma,,45-70,Humans,IMXSFYNMSOULQS-BEDFLICRSA-N,No result,LMST01020014,6479222,CE 20:4,C47H76O2,672.5845,Chol. esters,HMDB0006726,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
CE 16:0,increased,plasma,,45-70,Humans,BBJQPKLGPMQWBU-JADYGXMDSA-N,C11251,LMST01020005,246520,CE 16:0,C43H76O2,624.5845,Chol. esters,HMDB0000885,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
inosine,increased,plasma,,45-70,Humans,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C00294,No result,6021,Inosine,C10H12N4O5,268.0808,Purine ribonucleosides,HMDB0000195,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPC 18:0,increased,plasma,,45-70,Humans,IHNKQIMGVNPMTC-UHFFFAOYSA-N,No result,No result,86556,LPC 18:0,C26H54NO7P,523.3638,LPC,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPC 20:5,increased,plasma,,45-70,Humans,PDIGSOAOQOXRDU-WMPRHZDHSA-N,No result,No result,No result,LPC 20:5,C28H48NO7P,541.3168,LPC,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
adenosine,increased,plasma,,45-70,Humans,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C00212,No result,60961,Adenosine,C10H13N5O4,267.0968,Purine ribonucleosides,HMDB0000050,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
pyridoxate,increased,plasma,,45-70,Humans,HXACOUQIXZGNBF-UHFFFAOYSA-N,C00847,No result,6723,4-Pyridoxic acid,C8H9NO4,183.0532,Pyridinecarboxylic acids,HMDB0000017,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPE 22:6,increased,plasma,,45-70,Humans,XEVRBOQZSXWGQO-KUBAVDMBSA-N,No result,No result,No result,LPE 22:6,C27H44NO7P,525.2855,LPE,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
PC 38:5,increased,plasma,,45-70,Humans,SUACBSWYGWBPFC-GPUJSUHJSA-N,No result,LMGP01011879,52923235,PC 38:5,C46H82NO8P,807.5778,PC,HMDB0008402,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
